[OK ] 2022-11-10 21:10:38	 PING RECEIVED FROM 192.168.1.123:3101
[INF] 2022-11-10 21:10:42	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[INF] 2022-11-10 21:10:42	 PINGING http://192.168.1.123:3101
[INF] 2022-11-10 21:10:42	 FOLLOWER at 192.168.1.123:3101 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[OK ] 2022-11-10 21:10:42	 UPDATED DATA ON THIS NODE!
[OK ] 2022-11-10 21:10:42	 PING RECEIVED FROM 192.168.1.123:3101
[INF] 2022-11-10 21:10:46	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[INF] 2022-11-10 21:10:46	 PINGING http://192.168.1.123:3101
[INF] 2022-11-10 21:10:46	 FOLLOWER at 192.168.1.123:3101 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[OK ] 2022-11-10 21:10:46	 UPDATED DATA ON THIS NODE!
[OK ] 2022-11-10 21:10:46	 PING RECEIVED FROM 192.168.1.123:3101
[INF] 2022-11-10 21:10:50	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[INF] 2022-11-10 21:10:50	 PINGING http://192.168.1.123:3101
[INF] 2022-11-10 21:10:50	 FOLLOWER at 192.168.1.123:3101 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[OK ] 2022-11-10 21:10:50	 UPDATED DATA ON THIS NODE!
[OK ] 2022-11-10 21:10:50	 PING RECEIVED FROM 192.168.1.123:3101
[INF] 2022-11-10 21:10:54	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[INF] 2022-11-10 21:10:54	 PINGING http://192.168.1.123:3101
[INF] 2022-11-10 21:10:54	 FOLLOWER at 192.168.1.123:3101 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[OK ] 2022-11-10 21:10:54	 UPDATED DATA ON THIS NODE!
[OK ] 2022-11-10 21:10:54	 PING RECEIVED FROM 192.168.1.123:3101
[INF] 2022-11-10 21:10:58	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[INF] 2022-11-10 21:10:58	 PINGING http://192.168.1.123:3101
[INF] 2022-11-10 21:10:58	 FOLLOWER at 192.168.1.123:3101 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[OK ] 2022-11-10 21:10:58	 UPDATED DATA ON THIS NODE!
[OK ] 2022-11-10 21:10:58	 PING RECEIVED FROM 192.168.1.123:3101
[INF] 2022-11-10 21:11:02	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[INF] 2022-11-10 21:11:02	 PINGING http://192.168.1.123:3101
[INF] 2022-11-10 21:11:02	 FOLLOWER at 192.168.1.123:3101 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[OK ] 2022-11-10 21:11:02	 UPDATED DATA ON THIS NODE!
[OK ] 2022-11-10 21:11:02	 PING RECEIVED FROM 192.168.1.123:3101
[INF] 2022-11-10 21:11:06	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[INF] 2022-11-10 21:11:06	 PINGING http://192.168.1.123:3101
[INF] 2022-11-10 21:11:06	 FOLLOWER at 192.168.1.123:3101 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[OK ] 2022-11-10 21:11:06	 UPDATED DATA ON THIS NODE!
[OK ] 2022-11-10 21:11:06	 PING RECEIVED FROM 192.168.1.123:3101
[INF] 2022-11-10 21:11:10	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[INF] 2022-11-10 21:11:10	 PINGING http://192.168.1.123:3101
[INF] 2022-11-10 21:11:10	 FOLLOWER at 192.168.1.123:3101 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[OK ] 2022-11-10 21:11:10	 UPDATED DATA ON THIS NODE!
[OK ] 2022-11-10 21:11:10	 PING RECEIVED FROM 192.168.1.123:3101
[INF] 2022-11-10 21:11:14	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[INF] 2022-11-10 21:11:14	 PINGING http://192.168.1.123:3101
[INF] 2022-11-10 21:11:14	 FOLLOWER at 192.168.1.123:3101 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[OK ] 2022-11-10 21:11:14	 UPDATED DATA ON THIS NODE!
[OK ] 2022-11-10 21:11:14	 PING RECEIVED FROM 192.168.1.123:3101
[INF] 2022-11-10 21:11:18	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[INF] 2022-11-10 21:11:18	 PINGING http://192.168.1.123:3101
[INF] 2022-11-10 21:11:18	 FOLLOWER at 192.168.1.123:3101 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[OK ] 2022-11-10 21:11:18	 UPDATED DATA ON THIS NODE!
[OK ] 2022-11-10 21:11:18	 PING RECEIVED FROM 192.168.1.123:3101
[INF] 2022-11-10 21:11:24	 trying on 192.168.1.123:3100
[OK ] 2022-11-10 21:11:24	 connected on 192.168.1.123:3100
[INF] 2022-11-10 21:11:25	 The master is 192.168.1.123:3100
[INF] 2022-11-10 21:11:28	 trying on 192.168.1.123:3100
[INF] 2022-11-10 21:11:28	 trying on 192.168.1.123:3101
[OK ] 2022-11-10 21:11:28	 connected on 192.168.1.123:3101
[INF] 2022-11-10 21:11:29	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100
[INF] 2022-11-10 21:11:31	 TRYING TO CONNECT TO http://192.168.1.123:3100
[OK ] 2022-11-10 21:11:31	 192.168.1.123:3101 has connected
[INF] 2022-11-10 21:11:31	 The master is 192.168.1.123:3100
[INF] 2022-11-10 21:11:33	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[INF] 2022-11-10 21:11:33	 SENDING MAP TO FIRST JOINER
[INF] 2022-11-10 21:11:33	 PINGING http://192.168.1.123:3101
[INF] 2022-11-10 21:11:33	 FOLLOWER at 192.168.1.123:3101 nodemap: 192.168.1.123:3101
[OK ] 2022-11-10 21:11:33	 UPDATED DATA ON THIS NODE!
[OK ] 2022-11-10 21:11:33	 PING RECEIVED FROM 192.168.1.123:3101
[INF] 2022-11-10 21:11:37	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[INF] 2022-11-10 21:11:37	 PINGING http://192.168.1.123:3101
